118178_17334444 IC110514A
125046_64570437 IC140713A
125071_31397276 IC140721A
125205_19617837 IC140820A
125338_65606123 IC140923A
125349_12316485 IC140927A
125422_26630854 IC141012A
125544_54236696 IC141110A
125558_19184163 IC141114A
125693_21174828 IC141208A
125709_6405911 IC141210A
125757_12938244 IC141221A
125796_16042897 IC150102A
125800_83097666 IC150104A
125929_11025256 IC150118A
125934_55750717 IC150119A
125940_7449833 IC150120A
125968_61389842 IC150127A
125973_80686964 IC150129A
126082_40384770 IC150224A
126148_74589372 IC150313A
126308_20883844 IC150428A
126370_61611641 IC150515A
126405_50771014 IC150526A
126423_50123696 IC150601A
126456_1581608 IC150609A
126456_35956042 IC150609B
126514_73786337 IC150625A
126515_20091930 IC150625B
126620_19175993 IC150714A
126703_23477554 IC150809A
126717_29833358 IC150812A
126718_53509959 IC150812B
126769_62990844 IC150823A
126798_67205547 IC150831A
126812_38566267 IC150904A
126848_8902133 IC150914A
126860_17477746 IC150918A
126863_14025085 IC150919A
126878_30560694 IC150923A
126911_6416344 IC150926A
126976_9961785 IC151013A
126989_59479399 IC151017A
127112_69211097 IC151114A
127154_9907321 IC151122A
127357_17650073 IC160104A
127495_54505431 IC160128A
127603_48070937 IC160225A
127650_18431575 IC160307A
127742_55820225 IC160331A
127790_45902607 IC160410A
127853_67093193 IC160427A
127910_25056152 IC160510A
128034_69069846 IC160612A
128065_17929326 IC160614A
128067_65335330 IC160615A
128209_54386016 IC160707A
128253_44251618 IC160720A
128278_49218472 IC160727A
128290_6888376 IC160731A
128292_15195696 IC160731B
128311_26552458 IC160806A
128334_9739548 IC160812A
128340_58537957 IC160814A
128547_14557367 IC160924A
128567_21044380 IC161001A
128606_54200591 IC161012A
128632_62194858 IC161021A
128651_44166050 IC161027A
128672_38561326 IC161103A
128755_32356079 IC161117A
128785_76992952 IC161125A
128796_26367207 IC161127A
128906_80127519 IC161210A
128967_17750653 IC161224A
129020_20626582 IC170105A
129144_66284903 IC170206A
129153_11436007 IC170208A
129154_45298080 IC170208B
129232_51118868 IC170227A
129267_34234803 IC170308A
129307_80305071 IC170321A
129420_59928529 IC170422A
129434_58903823 IC170427A
129506_21161807 IC170514A
129506_49650572 IC170514B
129550_51402681 IC170527A
129654_8332254 IC170621A
129677_55886338 IC170626A
129701_49353375 IC170704A
129777_67372962 IC170717A
129855_33565191 IC170803A
129878_40814378 IC170809A
129915_72252401 IC170819A
129933_32926212 IC170824A
130033_50579430 IC170922A
130034_7858514 IC170923A
130092_30964247 IC171006A
130126_56068624 IC171015A
130172_52824390 IC171028A
130214_17569642 IC171106A
130220_11599241 IC171108A
130561_84363835 IC180117A
130588_44934051 IC180123A
130597_55489144 IC180125A
130639_37366501 IC180205A
130684_80612787 IC180213A
130743_25740057 IC180228A
130797_67186364 IC180313A
130801_16289732 IC180314A
130807_3160265 IC180316A
130912_76035104 IC180410A
130932_35022693 IC180417A
131096_32665194 IC180528A
131134_60192271 IC180608A
131145_43542963 IC180612A
131165_9342044 IC180613A
131321_73241305 IC180728A
131360_57649537 IC180807A
131475_34507973 IC180908A
131477_57977901 IC180909A
131519_27561842 IC180919A
131602_39194539 IC181008A
131624_12296708 IC181014A
131653_53411354 IC181023A
131653_63430929 IC181023B
131746_47815348 IC181114B
131764_48222919 IC181120A
131767_7377802 IC181120B
131768_80926380 IC181121A
131913_38717715 IC181212A
132043_80110393 IC190113A
132077_9759013 IC190124A
132128_69441226 IC190201A
132206_36575563 IC190214A
132229_66688965 IC190221A
132237_23969090 IC190223A
132321_28454069 IC190317A
132427_70353420 IC190410A
132437_16335312 IC190413A
132437_67132865 IC190413B
132443_12627143 IC190415A
132465_3856549 IC190422A
132508_42419327 IC190503A
132518_766165 IC190504A
132577_42662743 IC190515A
132684_5635104 IC190613A
132707_54984442 IC190619A
132768_5390846 IC190629A
132792_60166398 IC190704A
132814_44222682 IC190712A
132910_57145925 IC190730A
132974_67924813 IC190819A
133091_81419 IC190922A
133092_52499868 IC190922B
133119_22683750 IC191001A
133331_47828126 IC191119A
133348_80807014 IC191122A
133394_27261780 IC191204A
133433_29047901 IC191215A
133572_82361476 IC191231A
133609_37927131 IC200109A
133634_1410505 IC200117A
133644_43767651 IC200120A
133945_24635982 IC200410A
133985_60770138 IC200421A
134013_16038252 IC200425A
134081_58268464 IC200512A
134116_58596690 IC200523A
134139_35473338 IC200530A
134187_72386329 IC200614A
134191_17593623 IC200615A
134207_33533447 IC200620A
134354_59221243 IC200806A
134482_27754576 IC200911A
134498_12605830 IC200916A
134512_71996695 IC200921A
134533_53384881 IC200926A
134535_41069485 IC200926B
134552_68615710 IC200929A
134577_31638233 IC201007A
134599_66310113 IC201014A
134621_31008065 IC201021A
134698_40735501 IC201114A
134699_70289682 IC201115A
134715_65785778 IC201120A
134751_31476488 IC201130A
134777_8912764 IC201209A
134817_29175858 IC201221A
134818_73718836 IC201222A
134979_17138286 IC210210A
135251_10024822 IC210503A
135270_69188496 IC210510A
135292_56063172 IC210516A
135363_69917294 IC210608A
135440_3139778 IC210629A
135504_28341937 IC210717A
135553_7213992 IC210730A
135591_36044887 IC210811A
135736_30987826 IC210922A
135832_55176071 IC211023A
135906_30719293 IC211116A
135908_43512334 IC211117A
135930_15193553 IC211123A
135936_74588253 IC211125A
136015_21306805 IC211208A
136055_348073 IC211216A
136057_6147475 IC211216B
136170_48281000 IC220115A
136241_22093816 IC220202A
136249_27650203 IC220205A
136260_4895987 IC220205B
136348_65788242 IC220221A
136366_14203460 IC220225A
136385_7450363 IC220303A
136388_4701751 IC220304A
136392_25495567 IC220306A
136441_11435033 IC220317A
136504_1833389 IC220405A
136506_15341152 IC220405B
136556_43687362 IC220421A
136565_2186969 IC220424A
136568_17854328 IC220425A
136588_56014830 IC220501A
136615_14688828 IC220509A
136627_61640402 IC220513A
136662_35405932 IC220524A
136766_7637140 IC220624A
136775_22443736 IC220627A
136783_66879340 IC220629A
136973_28816141 IC220822A
137019_70165712 IC220907A
137065_22012496 IC220918A
137096_70551815 IC220928A
137217_75180896 IC221104A
137296_24212476 IC221124A
137350_7930341 IC221210A
137390_43495485 IC221216A
137467_64735045 IC221223A
137469_77414913 IC221224A
137487_35344578 IC221229A
137537_52990531 IC230112A
137571_16496893 IC230122A
137603_30799022 IC230201A
137661_22129736 IC230217A
137668_51133257 IC230220A
137711_79205800 IC230306A
137794_38132005 IC230401A
137806_8756840 IC230405A
137840_57034692 IC230416A
137910_29871391 IC230506A
137932_1791376 IC230511A
137971_11526243 IC230524A
138005_24780443 IC230603A
138125_11333473 IC230707A
138125_29513102 IC230707B
138131_35302784 IC230708A
138181_66037171 IC230724A
138193_21103478 IC230725A
138198_44334860 IC230727A
138354_45413430 IC230914A
138415_56188508 IC231004A
138449_20481611 IC231014A
